imdbID,title,year,rating,runtime,genre,released,director,writer,cast,metacritic,imdbRating,imdbVotes,poster,plot,fullplot,language,country,awards,lastupdated,type
1,Carmencita,1894,NOT RATED,1 min,"Documentary, Short",,William K.L. Dickson,,Carmencita,,5.9,1032,http://ia.media-imdb.com/images/M/MV5BMjAzNDEwMzk3OV5BMl5BanBnXkFtZTcwOTk4OTM5Ng@@._V1_SX300.jpg,"Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.","Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.",,USA,,2015-08-26 00:03:45.040000000,movie
5,Blacksmith Scene,1893,UNRATED,1 min,Short,1893-05-09,William K.L. Dickson,,"Charles Kayser, John Ott",,6.2,1189,,Three men hammer on an anvil and pass a bottle of beer around.,"A stationary camera looks at a large anvil with a blacksmith behind it and one on either side. The smith in the middle draws a heated metal rod from the fire, places it on the anvil, and all three begin a rhythmic hammering. After several blows, the metal goes back in the fire. One smith pulls out a bottle of beer, and they each take a swig. Then, out comes the glowing metal and the hammering resumes.",,USA,1 win.,2015-08-26 00:03:50.133000000,movie
3,Pauvre Pierrot,1892,,4 min,"Animation, Comedy, Short",1892-10-28,�mile Reynaud,,,,6.7,566,,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.","One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.",,France,,2015-08-12 00:06:02.720000000,movie
8,Edison Kinetoscopic Record of a Sneeze,1894,,1 min,"Documentary, Short",1894-01-09,William K.L. Dickson,,Fred Ott,,5.9,988,,A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be copyrighted in the United States.,A man (Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Edison films and was the first motion picture to be copyrighted in the United States.,,USA,,2015-08-10 00:21:07.127000000,movie
10,Employees Leaving the Lumi�re Factory,1895,,1 min,"Documentary, Short",1895-03-22,Louis Lumi�re,,,,6.9,3469,,"A man opens the big gates to the Lumi�re factory. Through the gateway and a smaller doorway beside it, workers are streaming out, turning either left or right. Most of them are women in ...","A man opens the big gates to the Lumi�re factory. Through the gateway and a smaller doorway beside it, workers are streaming out, turning either left or right. Most of them are women in long dresses and big hats, but some are men. Suddenly a man with a long apron rushes out through the crowd, followed by a big dog. At last some men on bikes leave the gateway. When all workers have left the factory, the doorkeeper starts closing the gates again.",,France,,2015-08-26 00:03:56.603000000,movie
12,The Arrival of a Train,1896,,1 min,"Documentary, Short",1896-01-01,"Auguste Lumi�re, Louis Lumi�re",,,,7.3,5043,http://ia.media-imdb.com/images/M/MV5BMjEyNDk5MDYzOV5BMl5BanBnXkFtZTgwNjIxMTEwMzE@._V1_SX300.jpg,"A group of people are standing in a straight line along the platform of a railway station, waiting for a train, which is seen coming at some distance. When the train stops at the platform, ...","A group of people are standing in a straight line along the platform of a railway station, waiting for a train, which is seen coming at some distance. When the train stops at the platform, the line dissolves. The doors of the railway-cars open, and people on the platform help passengers to get off.",,France,,2015-08-15 00:02:53.443000000,movie
14,Tables Turned on the Gardener,1895,,1 min,"Comedy, Short",,Louis Lumi�re,,"Fran�ois Clerc, Beno�t Duval",,7.1,2554,,"A gardener is watering his flowers, when a mischievous boy sneaks up behind his back, and puts a foot on the water hose. The gardener is surprised, and looks into the nozzle to find out why...","A gardener is watering his flowers, when a mischievous boy sneaks up behind his back, and puts a foot on the water hose. The gardener is surprised, and looks into the nozzle to find out why the water has stopped coming. The boy lifts his foot from the hose, whereby the water squirts up in the gardener's face. The gardener chases the boy, grips his ear, and slaps him in his buttocks. The boy runs away, and the gardener continues his watering.",,France,,2015-08-12 00:06:18.237000000,movie
29,Baby's Dinner,1895,,1 min,"Documentary, Short",1895-12-28,Louis Lumi�re,,"Mrs. Auguste Lumiere, Andr�e Lumi�re, Auguste Lumi�re",,5.9,1669,,"A baby is seated at a table between its cheerful parents, Auguste and Marguerite Lumi�re. While the father is feeding the baby with a spoon, the mother is pouring coffee into her cup. The ...","A baby is seated at a table between its cheerful parents, Auguste and Marguerite Lumi�re. While the father is feeding the baby with a spoon, the mother is pouring coffee into her cup. The father gives the baby a biscuit, which the baby grabs, but doesn't eat, although both parents encourage it. The father resumes feeding the baby with the spoon.",,France,,2015-08-12 00:06:40.657000000,movie
23,The Sea,1895,,1 min,"Documentary, Short",1896-06-28,Louis Lumi�re,,,,5.5,599,,"Several little boys run along a pier, then jump into the ocean.","The sea is before us. Some rocks are visible to the right and a narrow jetty extends about ten meters or so about three feet above the sea, held up by two sets of pylons. A woman and several lads about ten years old are coming out onto the rocks, one climbs onto the jetty at the end. He jumps back into the sea as the lads and lady run out to the end of the jetty and jump off. Even though the sea looks to be only about a foot deep, one boy does a flip into the water and repeats it later. The others simply jump in.",,France,,2015-08-12 00:06:30.297000000,movie
70,D�molition d'un mur,1896,,1 min,"Documentary, Short",2005-04-15,Louis Lumi�re,,Auguste Lumi�re,,6.4,1359,,"Auguste Lumi�re directs four workers in the demolition of an old wall at the Lumi�re factory. One worker is pressing the wall inwards with a jackscrew, while another is pushing it with a ...","Auguste Lumi�re directs four workers in the demolition of an old wall at the Lumi�re factory. One worker is pressing the wall inwards with a jackscrew, while another is pushing it with a pick. When the wall hits the ground, a cloud of white dust whirls up. Three workers continue the demolition of the wall with picks.",,France,,2015-08-26 00:05:47.977000000,movie
